"id","x","y","type"
1,714967.281485386,5420712.93057985,"train_station"
2,714543.57253509,5421025.94096163,"doctor"
3,714734.534359453,5420352.34148783,"doctor"
4,711288.946478196,5421134.70953126,"doctor"
5,711302.553931244,5422622.78360285,"doctor"
6,709857.978587948,5424704.88655482,"doctor"
7,710330.281668287,5422405.57684666,"doctor"
8,710367.568795906,5422288.91681884,"doctor"
9,709926.034665088,5421778.12666431,"doctor"
10,711249.775198582,5422741.28142994,"doctor"
11,711254.76617753,5422741.03188099,"doctor"
12,710528.900449989,5422666.73044137,"doctor"
13,714406.849636441,5420483.27299781,"doctor"
14,714366.363206188,5420067.57955894,"doctor"
15,711915.547572406,5422004.40628926,"doctor"
16,710397.085705698,5421733.148831,"doctor"
17,710645.273792608,5422619.57952712,"doctor"
18,714595.082185372,5420231.54333503,"health"
19,710359.341026622,5422271.04311871,"health"
20,711907.235278546,5422004.03407777,"health"
21,710381.451774484,5421745.19071149,"health"
22,711245.246452335,5422741.44578833,"health"
23,710520.880738166,5422666.21548099,"health"
24,709576.059110711,5424791.9774179,"health"
25,710325.115684664,5422406.36337861,"health"
26,710758.81447828,5421497.94666289,"health"
27,711193.229530542,5422738.65829833,"health"
28,710489.039071423,5422387.61928239,"health"
29,710533.925580563,5422334.27788068,"health"
30,715066.23686477,5426276.39740521,"sport"
31,710463.49462981,5422702.38836946,"sport"
32,709695.517687242,5425522.65839825,"sport"
33,709651.677668261,5425523.62023739,"sport"
34,711729.483022788,5421730.86721956,"sport"
35,710823.140133647,5421896.01909432,"sport"
36,709729.550157764,5421970.64100071,"sport"
37,713544.033843897,5421800.68382361,"sport"
38,710848.687497805,5422168.2477298,"sport"
39,711506.26103801,5421845.50358545,"sport"
40,711573.401632234,5421761.85628344,"sport"
41,711391.018892277,5421813.36593934,"sport"
42,714011.525111698,5420533.71269248,"sport"
43,713907.365058413,5420561.64362026,"sport"
44,713490.343781311,5420268.84689286,"sport"
45,713853.281655378,5420234.07440193,"sport"
46,713016.434703145,5420765.67913373,"sport"
47,713121.322176956,5420676.52478098,"sport"
48,713148.855138831,5420724.37969091,"sport"
49,713152.788419099,5420750.60155936,"sport"
50,713174.749233928,5420795.83428244,"sport"
51,710526.379307126,5422360.94022457,"groceries"
52,715209.508788563,5420635.23329233,"groceries"
53,710407.536149899,5422326.50270257,"groceries"
54,711997.319591053,5421707.36310684,"groceries"
55,711992.158114713,5421721.52490823,"groceries"
56,710437.123288498,5422507.55526707,"groceries"
57,711193.229530542,5422738.65829833,"groceries"
58,712806.935503921,5420816.05576412,"groceries"
59,705743.75415755,5418653.09823229,"groceries"
60,711793.179944042,5422423.8101136,"groceries"
61,710423.057684888,5422152.91060626,"groceries"
62,710421.9269158,5422451.64028808,"groceries"
63,711295.615489462,5422755.36845327,"groceries"
64,711247.302866814,5422770.35183658,"groceries"
65,715846.276876516,5421485.5928731,"groceries"
66,711882.4325366,5422275.26510582,"groceries"
67,711894.299370676,5422270.89748911,"groceries"
68,710462.216716889,5422506.7903912,"groceries"
69,710377.28786802,5422313.22679202,"groceries"
70,710421.1724897926,5422368.267495186,"altstadt"
71,711746.758,5422055.557,"senioren"
72,710135.487,5421891.633,"senioren"


