dist_group,mode,share
0 - 500,walk,0.670103093
500 - 1000,walk,0.4
1000 - 2000,walk,0.255555556
2000 - 5000,walk,0.149425287
5000 - 10000,walk,0.054347826
10000 - 20000,walk,0.010989011
20000 - 50000,walk,0
50000 - 100000,walk,0
100000+,walk,0
0 - 500,bike,0.103092784
500 - 1000,bike,0.168421053
1000 - 2000,bike,0.144444444
2000 - 5000,bike,0.091954023
5000 - 10000,bike,0.032608696
10000 - 20000,bike,0.021978022
20000 - 50000,bike,0.011363636
50000 - 100000,bike,0.011111111
100000+,bike,0
0 - 500,car,0.175257732
500 - 1000,car,0.326315789
1000 - 2000,car,0.466666667
2000 - 5000,car,0.551724138
5000 - 10000,car,0.663043478
10000 - 20000,car,0.703296703
20000 - 50000,car,0.727272727
50000 - 100000,car,0.622222222
100000+,car,0.592592593
0 - 500,ride,0.051546392
500 - 1000,ride,0.105263158
1000 - 2000,ride,0.122222222
2000 - 5000,ride,0.16091954
5000 - 10000,ride,0.173913043
10000 - 20000,ride,0.197802198
20000 - 50000,ride,0.193181818
50000 - 100000,ride,0.233333333
100000+,ride,0.259259259
0 - 500,pt,0
500 - 1000,pt,0
1000 - 2000,pt,0.011111111
2000 - 5000,pt,0.045977011
5000 - 10000,pt,0.076086957
10000 - 20000,pt,0.065934066
20000 - 50000,pt,0.068181818
50000 - 100000,pt,0.133333333
100000+,pt,0.148148148
0 - 500,total_distance_distribution,0.090558209
500 - 1000,total_distance_distribution,0.104649831
1000 - 2000,total_distance_distribution,0.115427363
2000 - 5000,total_distance_distribution,0.190472662
5000 - 10000,total_distance_distribution,0.157870629
10000 - 20000,total_distance_distribution,0.166384879
20000 - 50000,total_distance_distribution,0.126049967
50000 - 100000,total_distance_distribution,0.032197875
100000+,total_distance_distribution,0.016381848
