"id","x","y","type"
1,723746.2221000000,5424827.6290000000,supermarket
2,709700.0877000000,5410369.0540000000,supermarket
3,709838.2051000000,5410320.1830000000,supermarket
4,709349.9017000000,5410795.4830000000,supermarket
5,706815.8387000000,5398826.7890000000,supermarket
6,715846.2768000000,5421485.5920000000,supermarket
7,702406.3107000000,5410374.2480000000,supermarket
8,702672.7821000000,5410204.0650000000,supermarket
9,711894.2993000000,5422270.8970000000,supermarket
10,710314.4025000000,5421672.4900000000,supermarket
11,710236.7883000000,5421709.2820000000,supermarket
12,711295.6154000000,5422755.3680000000,supermarket
13,711247.3028000000,5422770.3510000000,supermarket
14,705237.2085000000,5391759.1200000000,supermarket
15,705269.6193000000,5391757.3440000000,supermarket
16,705102.4232000000,5392407.5250000000,supermarket
17,718110.2046000000,5406151.6420000000,supermarket
18,723910.4494000000,5412090.3440000000,supermarket
19,710321.2780000000,5412135.4320000000,supermarket
20,713405.2027000000,5406044.9470000000,supermarket
21,711997.3195000000,5421707.3630000000,supermarket
22,712806.9355000000,5420816.0550000000,supermarket
23,720944.9000000000,5420014.2290000000,supermarket
24,696420.1301000000,5426752.8980000000,supermarket
25,711793.1799000000,5422423.8100000000,supermarket
26,724396.7235000000,5412449.7770000000,supermarket
27,725612.7606000000,5408447.0760000000,supermarket
